Area_m²,Location,Floor,Price_€,Newly_built
54.0,Veruda,3,159900,0
81.49,Centar,0,192000,0
110.49,Stoja,4,343000,0
42.0,Šijana,3,105000,1
40.0,Centar,0,124500,0
83.0,Centar,0,220000,0
49.0,Monvidal,1,113000,1
58.0,Šijana,4,150000,1
53.15,Šijana,5,125000,0
80.0,Šijana,4,218000,0
77.0,Šijana,1,245000,0
59.0,Centar,1,214250,0
63.65,Veruda,1,200000,0
52.0,Centar,1,172908,0
49.5,Centar,4,156000,0
34.0,Veruda,0,151500,0
87.0,Centar,3,260000,0
63.0,Štinjan,0,149000,0
51.0,Centar,0,120000,0
84.49,Veruda,2,7953223,0
102.0,Veli vrh,2,265000,0
74.88,Štinjan,1,209900,1
59.43,Centar,2,208000,1
68.0,Monvidal,2,180000,1
88.93,Vidikovac,0,239000,0
58.11,Štinjan,0,203385,1
93.0,Centar,2,538000,0
38.07,Centar,0,125000,0
59.19,Valdebek,1,154000,1
53.16,Šijana,4,115000,0
69.94,Stoja,2,250000,0
57.0,Kaštanjer,1,120000,0
128.0,Valdebek,0,294000,0
61.87,Centar,1,196930,0
62.0,Stoja,1,123600,0
160.0,Centar,3,199000,0
66.08,Veli vrh,1,176103,1
65.22,Veruda,3,166000,0
70.13,Centar,1,224000,0
42.0,Nova Veruda,1,126000,0
64.0,Centar,1,144000,0
61.89,Centar,1,198400,0
77.0,Centar,3,235000,0
79.9,Centar,2,210000,0
48.0,Centar,0,199000,0
103.27,Šijana,2,228660,1
87.71,Veruda,8,195000,0
43.0,Centar,0,134500,0
69.64,Stoja,2,250000,0
95.0,Monte Zaro,0,237000,0
58.0,Centar,1,185600,0
58.48,Centar,1,140000,0
70.0,Centar,3,155000,0
54.86,Valdebek,0,142700,1
31.11,Veruda,0,152500,0
93.31,Centar,3,260000,0
54.07,Stoja,4,155000,0
129.0,Centar,3,403000,0
53.17,Vidikovac,5,144000,0
63.0,Štinjan,1,189000,0
53.97,Veruda,3,159900,0
159.89,Štinjan,2,399000,1
69.13,Vidikovac,5,168000,0
54.0,Kaštanjer,1,125000,0
70.13,Centar,3,223388,1
46.41,Šijana,1,122570,1
43.0,Centar,2,73000,0
53.37,Vidikovac,7,149500,0
53.48,Nova Veruda,1,300825,0
59.48,Monte Magno,0,166000,0
64.13,Centar,4,139000,1
44.0,Monvidal,1,105600,1
50.0,Monvidal,0,157500,0
87.0,Veruda,8,190000,0
62.0,Centar,1,2223510,1
93.0,Centar,2,279000,0
97.45,Šijana,2,224540,1
69.62,Monte Magno,0,298000,0
109.13,Centar,5,315400,1
66.05,Šijana,2,171600,0
53.16,Šijana,5,117000,0
64.82,Centar,1,136000,0
70.0,Centar,1,223000,0
37.01,Veruda,3,98000,0
95.0,Centar,2,240000,1
38.07,Centar,0,124500,0
92.0,Centar,3,187000,0
62.5,Veruda,1,165000,0
79.0,Monteghiro,1,173000,0
61.0,Veli vrh,0,159000,1
41.0,Nova Veruda,1,150000,1
56.0,Šijana,3,155000,1
42.0,Verudela,1,147000,1
95.8,Valdebek,2,240000,0
56.0,Veruda,3,155000,0
66.0,Štinjan,1,190000,0
107.26,Veli vrh,2,290000,1
80.0,Šijana,4,218000,0
54.0,Veruda,1,192500,0
62.0,Veruda,0,138000,0
60.0,Vidikovac,1,163000,0
45.0,Šijana,0,140000,1
89.28,Centar,3,223200,0
37.95,Veruda,1,110000,0
88.93,Vidikovac,0,239000,0
106.0,Centar,3,295600,0
135.44,Centar,0,290000,0
62.0,Centar,1,150000,0
50.66,Vidikovac,5,145000,0
89.82,Centar,1,247000,0
38.5,Monte Zaro,3,114000,0
55.0,Centar,2,192000,1
100.59,Šijana,2,218360,1
64.13,Kaštanjer,4,139000,0
97.0,Vidikovac,3,258500,0
70.0,Centar,1,205000,0
39.0,Kaštanjer,2,90000,0
57.84,Šijana,1,140080,1
70.0,Centar,2,205175,0
127.96,Veli vrh,2,245000,1
22.0,Centar,4,119000,1
54.0,Šijana,5,120000,0
64.0,Centar,1,166000,0
58.48,Centar,1,135000,0
75.0,Stoja,1,400000,0
51.59,Nova Veruda,1,290193,0
28.0,Centar,5,99600,0
56.0,Šijana,2,135000,1
128.0,Veli vrh,2,239000,0
64.0,Centar,1,203900,0
88.0,Veli vrh,0,228000,0
66.0,Štinjan,1,193000,0
55.0,Centar,1,205000,0
96.0,Centar,4,347600,1
63.58,Veli vrh,1,169440,1
95.0,Monte Magno,2,214000,1
96.0,Centar,1,347600,1
54.0,Centar,2,153748,1
68.6,Monvidal,2,182000,0
55.0,Valdebek,1,143000,0
76.0,Centar,2,280000,1
65.5,Štinjan,2,295000,1
56.0,Stoja,1,182500,1
95.24,Veli vrh,2,209000,0
127.96,Veli vrh,2,239000,0
108.0,Centar,0,460000,0
74.21,Centar,1,229000,0
