Area_m²,Location,Floor,Price_€,Newly_built
80.0,Kaštanjer,2,162000,0
106.0,Centar,2,265750,1
89.0,Centar,1,223200,1
63.0,Centar,1,178892,1
70.0,Centar,1,196364,1
61.0,Centar,3,154725,1
96.0,Centar,4,242500,0
166.0,Centar,4,415000,1
45.0,Valdebek,0,120000,0
63.0,Centar,3,134000,0
27.0,Kaštanjer,2,73000,0
77.52,Centar,0,155000,0
82.76,Šijana,0,160000,0
55.0,Kaštanjer,1,137500,1
33.94,Kaštanjer,0,78062,0
65.4,Stoja,0,183120,0
55.0,Kaštanjer,0,132000,0
113.0,Veli vrh,0,320000,0
105.0,Centar,1,185000,0
40.0,Stoja,1,83500,0
142.0,Centar,0,250000,0
53.85,Centar,4,95000,0
127.96,Veli vrh,2,255900,1
87.0,Centar,3,280000,0
54.18,Veruda,0,204630,1
54.67,Veruda,1,206345,1
38.0,Veruda,1,148000,0
69.12,Veruda,1,256920,0
104.47,Veruda,2,380645,1
60.0,Centar,0,100000,0
60.0,Centar,0,100000,0
59.0,Kaštanjer,4,179000,1
53.0,Veruda,1,156000,1
68.5,Veruda,0,210000,0
54.19,Centar,0,105000,0
143.0,Stoja,0,260000,0
70.0,Stoja,1,210000,0
70.0,Stoja,1,210000,0
54.0,Šijana,2,140000,0
85.0,Centar,3,162000,0
49.0,Stoja,1,153000,0
54.0,Centar,2,138000,0
84.0,Centar,1,160000,0
46.0,Valdebek,0,120000,0
76.0,Centar,0,69500,0
68.0,Valdebek,2,138000,0
63.0,Centar,3,134000,0
93.48,Stoja,0,189000,0
66.99,Centar,1,223000,1
69.35,Štinjan,2,155000,0
54.0,Centar,1,160000,0
143.19,Kaštanjer,2,298000,0
72.0,Šikići,1,137000,1
60.0,Monvidal,3,114000,1
49.0,Centar,3,119900,0
113.01,Centar,1,280000,0
68.06,Centar,4,78000,0
97.88,Štinjan,2,218000,0
112.0,Centar,1,189000,0
68.0,Monte Magno,2,145500,0
57.89,Centar,1,119500,0
109.31,Štinjan,0,240000,0
96.42,Centar,1,166300,0
31.0,Veruda,4,111000,0
98.0,Kaštanjer,5,139000,0
131.0,Centar,3,350000,0
62.88,Štinjan,1,192000,1
65.0,Stoja,0,125000,0
79.0,Centar,0,155000,0
59.0,Busoler,4,177000,1
81.0,Monte Zaro,0,174000,1
88.5,Centar,4,150000,0
67.59,Štinjan,1,166000,1
114.0,Štinjan,1,259000,0
47.53,Veruda,1,150000,0
77.58,Centar,0,166500,0
80.0,Centar,0,145000,0
26.0,Centar,2,87000,0
77.28,Stoja,0,180000,1
62.77,Štinjan,1,161000,1
200.0,Štinjan,0,280000,0
31.11,Veruda,0,108000,0
62.48,Centar,3,139000,0
80.0,Veruda,2,149000,0
73.07,Veli vrh,1,149000,0
38.9,Kaštanjer,2,83500,0
130.91,Centar,1,179000,0
65.5,Centar,3,175000,0
55.0,Šijana,0,115000,0
82.0,Centar,1,195000,0
68.0,Nova Veruda,3,165000,0
45.34,Kaštanjer,0,85000,0
91.0,Šijana,1,197000,0
104.47,Veruda,2,379500,1
72.0,Vidikovac,1,193000,0
51.0,Veruda,3,107000,0
93.46,Nova Veruda,1,205000,1
39.0,Centar,2,82500,0
70.69,Centar,1,155600,0
84.0,Monte Zaro,0,188000,0
62.48,Centar,3,139000,0
85.0,Šijana,3,185000,0
68.0,Vidikovac,0,196000,0
120.0,Centar,1,250000,0
51.0,Monte Magno,0,129000,0
57.0,Veli vrh,1,127500,1
94.33,Centar,3,175000,0
73.0,Valdebek,1,182600,1
52.0,Centar,1,134900,0
100.0,Centar,4,145000,0
54.9,Nova Veruda,1,125000,1
68.61,Nova Veruda,1,166000,0
59.65,Nova Veruda,2,143000,1
68.61,Nova Veruda,2,166000,1
106.28,Centar,1,265700,0
70.13,Centar,2,196400,1
84.0,Centar,1,166000,0
77.86,Centar,1,150000,0
105.0,Monte Zaro,1,192000,0
74.0,Veruda,1,225000,1
79.0,Centar,1,153000,0
25.0,Centar,2,95000,0
74.0,Centar,4,145500,0
59.05,Veli vrh,1,133500,1
80.0,Centar,0,145000,0
67.0,Monte Magno,0,195000,0
67.36,Monte Magno,0,198200,0
55.0,Veruda,0,164600,1
30.0,Monte Zaro,0,58500,0
68.0,Centar,1,116500,0
45.0,Centar,3,177000,0
150.0,Stoja,2,465000,1
130.0,Šijana,1,240000,0
82.58,Centar,0,160000,0
54.77,Gregovica,2,142500,0
91.0,Veruda,4,280500,0
115.0,Centar,3,235000,0
64.0,Centar,3,170000,0
103.0,Nova Veruda,1,200000,0
78.0,Stoja,0,170000,0
71.0,Monvidal,2,150000,0
67.0,Centar,1,209600,1
73.0,Valdebek,2,182600,1
71.0,Centar,2,221923,1
54.0,Centar,0,124000,0
48.0,Centar,1,120000,0
55.0,Centar,0,148500,1
73.0,Centar,1,169000,0
80.0,Centar,2,119000,0
150.0,Centar,2,280000,0
71.0,Centar,0,123000,0
60.0,Nova Veruda,3,128500,0
62.0,Stoja,4,142000,0
122.0,Valdebek,2,238000,0
62.0,Centar,3,138000,0
75.0,Stoja,1,115000,0
81.0,Veli vrh,1,158000,1
40.0,Monvidal,3,74000,0
52.0,Veli vrh,1,135000,0
48.0,Centar,1,138000,0
115.0,Valdebek,2,160000,1
88.0,Veli vrh,1,171000,1
61.0,Valdebek,1,110000,1
67.0,Monte Magno,2,148000,0
57.0,Valdebek,1,112800,0
64.0,Centar,1,140000,0
100.0,Gregovica,0,165000,0
93.0,Stoja,0,189000,0
78.0,Centar,1,150000,0
44.0,Centar,2,176500,0
72.0,Centar,2,205000,0
67.0,Centar,1,190000,0
86.0,Centar,1,245000,0
66.0,Veli vrh,1,130000,1
109.0,Šijana,1,130000,0
54.0,Kaštanjer,2,143000,1
55.0,Kaštanjer,2,143000,1
54.0,Kaštanjer,2,141500,1
54.0,Kaštanjer,1,137500,1
55.0,Kaštanjer,1,137500,1
54.0,Kaštanjer,1,136000,1
54.0,Kaštanjer,0,132000,1
55.0,Kaštanjer,0,132000,1
59.0,Veli vrh,1,133000,1
57.0,Veli vrh,1,129000,1
115.0,Veli vrh,2,235000,1
54.0,Šijana,2,134000,0
130.0,Centar,1,179000,0
68.0,Valdebek,2,138000,0
94.0,Centar,3,250000,0
58.0,Monvidal,2,110000,1
180.0,Centar,3,360000,0
77.0,Centar,1,150000,0
103.0,Centar,1,180000,0
65.0,Stoja,0,182000,1
148.01,Stoja,0,260000,0
62.0,Stoja,0,124500,0
71.23,Centar,2,240000,1
93.46,Nova Veruda,1,205000,0
111.0,Centar,2,175000,0
86.02,Centar,1,268000,0
68.77,Centar,2,192500,1
79.94,Štinjan,1,193000,1
61.89,Centar,3,173300,1
61.89,Centar,1,173300,1
45.0,Valdebek,0,120000,0
50.0,Kaštanjer,3,139000,0
55.0,Centar,0,125000,0
78.26,Centar,2,162000,0
61.89,Centar,2,173300,1
62.25,Centar,2,174300,1
89.28,Centar,1,223000,1
106.28,Centar,1,265700,1
69.35,Štinjan,0,165000,1
67.59,Štinjan,1,167000,1
89.28,Centar,3,223000,1
70.13,Centar,3,196300,1
62.77,Štinjan,1,159000,0
115.68,Veli vrh,2,234000,0
59.05,Veli vrh,1,131200,0
135.44,Centar,1,290000,0
54.0,Šijana,2,134000,0
50.0,Centar,2,110000,0
62.48,Centar,3,138000,0
79.24,Veli vrh,0,169000,0
83.0,Centar,1,163000,0
61.26,Štinjan,1,157000,1
43.97,Centar,2,177000,0
32.65,Centar,0,120000,0
79.24,Veli vrh,0,169500,1
94.84,Veli vrh,2,207000,1
74.0,Centar,4,145500,0
40.77,Veruda,0,157695,1
53.5,Veruda,0,202250,1
161.79,Veruda,1,587600,1
120.0,Kaštanjer,2,252000,1
54.0,Šijana,2,134000,0
100.2,Gregovica,0,162000,0
151.53,Centar,3,505000,1
56.0,Stoja,4,140000,0
51.0,Veruda,3,107000,0
57.43,Veli vrh,1,130000,1
77.99,Veli vrh,0,168400,1
57.32,Veli vrh,1,130000,1
115.68,Veli vrh,2,237200,1
79.24,Veli vrh,0,168100,1
92.0,Centar,2,230000,1
32.0,Centar,0,124500,0
170.0,Centar,1,519000,0
77.18,Nova Veruda,2,130000,0
61.62,Centar,0,141000,1
61.77,Centar,0,104000,0
121.99,Centar,1,259900,0
54.91,Veli vrh,1,143000,1
54.89,Veli vrh,1,142500,1
54.89,Veli vrh,2,142500,1
80.5,Centar,0,129000,0
91.0,Veruda,4,280500,0
79.08,Stoja,4,220000,0
40.73,Veruda,7,100000,0
125.0,Monvidal,1,285000,1
118.0,Centar,1,177000,0
64.0,Monvidal,1,155000,1
97.0,Centar,1,155000,0
44.39,Valdebek,0,120000,0
59.05,Veli vrh,1,133000,0
58.56,Veli vrh,0,125000,0
127.96,Veli vrh,2,257000,0
127.96,Veli vrh,2,257000,0
59.05,Veli vrh,1,133000,0
59.05,Veli vrh,1,133000,0
59.05,Veli vrh,1,133000,0
64.81,Veli vrh,1,135000,0
