Location,Type,Area_m²,Price_€,Price
Veli vrh,1,580,73000,73000
Valdebek,1,920,170000,170000
Valdebek,1,510,69000,69000
Šikići,0,3434,137360,137360
Šikići,0,14721,368025,368025
Šikići,0,6680,267200,267200
Šikići,0,1934,77360,77360
Veli vrh,1,2138,199000,199000
Veli vrh,1,502,100000,100000
Veli vrh,0,402,20000,20000
Veli vrh,0,500,23500,23500
Šikići,1,800,90000,90000
Štinjan,1,848,120000,120000
Monte Magno,1,2300,415000,415000
Gregovica,1,1100,228000,228000
Monteserpo - Komunal,1,629,72500,72500
Štinjan,1,2712,279000,279000
Monte Magno,1,4420,1100000,1100000
Centar,0,837,49400,49400
Centar,1,43000,60,2580000
Gregovica,1,2200,456500,456500
Štinjan,1,12726,1888000,1888000
Valmade,1,1341,268200,268200
Štinjan,1,2340,125000,125000
Veli vrh,1,1000,180000,180000
Veli vrh,1,548,82500,82500
Valmade,1,40000,1,40000
Štinjan,1,2337,135000,135000
Veli vrh,1,1274,115000,115000
Centar,0,525,32500,32500
Šijana,1,2789,195230,195230
Veli vrh,0,1083,80000,80000
Veli vrh,0,545,48000,48000
Padulj,1,13000,1875000,1875000
Centar,1,7000,770000,770000
Centar,1,3520,229000,229000
Centar,1,8000,320000,320000
Veli vrh,1,2589,160000,160000
Šijana,1,5016,775000,775000
Šijana,0,2100,73500,73500
Šijana,1,35221,1054630,1054630
Busoler,0,576,27500,27500
Busoler,1,618,25900,25900
Štinjan,1,2003,354000,354000
Monteserpo - Komunal,0,2536,159000,159000
Monteserpo - Komunal,1,629,72500,72500
Štinjan,1,696,104400,104400
Štinjan,1,703,105450,105450
Štinjan,1,722,108300,108300
Štinjan,1,664,99600,99600
Veli vrh,1,491,63000,63000
Štinjan,1,710,106500,106500
Štinjan,1,850,127500,127500
Štinjan,1,2003,309000,309000
Štinjan,1,5097,950000,950000
Monteserpo - Komunal,0,1934,78000,78000
Monteserpo - Komunal,0,14721,370000,370000
Šikići,0,521,27000,27000
Veli vrh,0,1081,33000,33000
Štinjan,1,685,102750,102750
Štinjan,1,663,99450,99450
Štinjan,1,615,105000,105000
Nova Veruda,0,1315,1,1315
Valmade,1,1258,110000,110000
Štinjan,1,6963,557000,557000
Veli vrh,0,10400,585000,585000
Šijana,0,14235,133000,133000
Šikići,0,812,40000,40000
Štinjan,1,600,100000,100000
Busoler,1,1360,212000,212000
Šijana,1,12175,1500000,1500000
Centar,0,1100,30000,30000
Veli vrh,0,837,49400,49400
Veruda,1,4924,1900000,1900000
Veli vrh,1,11640,485000,485000
Šikići,1,694,73000,73000
Veli vrh,1,686,150000,150000
Šijana,1,5022,180,903960
Štinjan,0,2400,100,240000
Padulj,1,5000,100,500000
Veli vrh,0,8400,227000,227000
Veli vrh,1,10400,69,717600
Štinjan,1,7504,200,1500800
Šijana,0,10047,169000,169000
Centar,1,1100,233000,233000
Veli vrh,1,1185,105000,105000
Štinjan,1,5272,1200000,1200000
Štinjan,1,6990,499000,499000
Škatari,0,1990,82000,82000
Centar,0,1001,104000,104000
Škatari,0,1015,105000,105000
Šijana,1,535,78000,78000
Centar,0,3047,225000,225000
Štinjan,1,2340,135000,135000
Štinjan,1,520,135200,135200
Veli vrh,0,1290,135000,135000
Štinjan,1,2200,352000,352000
Štinjan,1,621,73000,73000
Štinjan,1,3300,685000,685000
Štinjan,1,4322,131186,131186
Centar,1,4158,450000,450000
Centar,1,1360,125000,125000
Centar,1,1360,210000,210000
Štinjan,1,989,176000,176000
Štinjan,1,291,125000,125000
