Location,Type,Area_m²,Price_€,Price
Šijana,1,5022,180,903960
Štinjan,0,2400,100,240000
Padulj,1,5000,100,500000
Veli vrh,0,8400,13,109200
Veli vrh,1,10400,65,676000
Šijana,0,10047,169000,169000
Monte Magno,1,2193,300000,300000
Štinjan,1,5538,200,1107600
Štinjan,1,4279,200,855800
Štinjan,1,8154,120,978480
Monte Magno,1,6442,600000,600000
Monte Magno,1,605,120000,120000
Šijana,1,9933,1590000,1590000
Pragrande,0,1789,372000,372000
Pragrande,0,3096,643000,643000
Monte Magno,1,2300,415000,415000
Centar,1,700,50000,50000
Veli vrh,0,1290,125000,125000
Ilirija,0,600,12000,12000
Centar,1,1360,163200,163200
Centar,1,1274,114660,114660
Centar,0,1300,120000,120000
Centar,1,1919,211000,211000
Centar,1,530,70000,70000
Centar,1,919,160000,160000
Centar,0,45000,10,450000
Štinjan,1,4279,845000,845000
Štinjan,1,1065,211000,211000
Štinjan,1,1089,215000,215000
Štinjan,1,1055,208500,208500
Centar,1,2650,1000000,1000000
Centar,1,662,105000,105000
Šijana,1,2604,599000,599000
Busoler,1,1360,136000,136000
Štinjan,1,923,83000,83000
Centar,1,936,349000,349000
Veli vrh,1,600,150000,150000
Veli vrh,1,400,90000,90000
Štinjan,1,2712,272000,272000
Šijana,1,505,70000,70000
Veli vrh,1,6260,240000,240000
Veli vrh,0,1088,32600,32600
Štinjan,1,2003,271000,271000
Veli vrh,1,518,75500,75500
Veli vrh,1,467,68000,68000
Veli vrh,1,491,63000,63000
Veli vrh,1,529,77000,77000
Veli vrh,1,843,123000,123000
Šikići,0,4171,42800,42800
Škatari,0,1064,42000,42000
Valdebek,1,4374,493000,493000
Veli vrh,1,580,73000,73000
Šijana,1,1258,110000,110000
Šikići,0,521,27000,27000
Štinjan,1,820,100000,100000
Štinjan,1,685,82200,82200
Štinjan,1,663,79560,79560
Štinjan,1,696,83520,83520
Štinjan,1,716,85920,85920
Štinjan,1,703,84360,84360
Štinjan,1,710,85200,85200
Štinjan,1,722,86640,86640
Štinjan,1,850,102000,102000
Štinjan,1,664,79680,79680
Štinjan,1,2003,309000,309000
Valdebek,1,920,170000,170000
Veli vrh,0,1081,33000,33000
Vidikovac,1,2620,980000,980000
Štinjan,0,1000,40000,40000
Štinjan,1,2304,288000,288000
Valdebek,1,1346,153000,153000
Štinjan,1,2500,337500,337500
Centar,1,1251,712000,712000
Šijana,1,2620,471600,471600
Gregovica,1,1100,138000,138000
Monteserpo - Komunal,1,25268,3500000,3500000
Vidikovac,1,2620,375,982500
Veli vrh,1,1900,152000,152000
Šijana,1,3000,155000,155000
Monteserpo - Komunal,1,4000,280000,280000
Gregovica,0,932,47000,47000
Valdebek,1,500,125000,125000
Centar,1,2038,120,244560
Šijana,1,12175,1700000,1700000
Veli vrh,1,519,75400,75400
Štinjan,1,720,129900,129900
Monteserpo - Komunal,0,552,15400,15400
Monteserpo - Komunal,0,592,15500,15500
Monteserpo - Komunal,0,596,16000,16000
Monteserpo - Komunal,0,598,16200,16200
Monteserpo - Komunal,0,704,17500,17500
Monteserpo - Komunal,0,604,16000,16000
Monteserpo - Komunal,0,632,16500,16500
Monteserpo - Komunal,0,1026,25000,25000
Monteserpo - Komunal,0,813,20000,20000
Monteserpo - Komunal,0,597,16200,16200
Monteserpo - Komunal,0,591,16000,16000
Monteserpo - Komunal,0,595,15900,15900
Monteserpo - Komunal,0,728,18000,18000
Monteserpo - Komunal,0,500,15000,15000
Monteserpo - Komunal,0,501,14900,14900
Monteserpo - Komunal,0,643,16000,16000
Valmade,0,5398,91766,91766
Štinjan,1,2304,289000,289000
Busoler,1,1360,145000,145000
Monteserpo - Komunal,1,539,60000,60000
Monteserpo - Komunal,1,662,100000,100000
Veli vrh,1,4000,399900,399900
Štinjan,1,1065,199000,199000
Štinjan,1,1089,203500,203500
Štinjan,1,1055,197000,197000
Štinjan,1,989,149000,149000
Štinjan,1,1014,152100,152100
Štinjan,1,10215,1100000,1100000
Štinjan,1,5200,1050000,1050000
